번호,제목,저자,출판사,출판일
7,Time for Autonomous Vehicles to Connect [Connected Vehicles],"Uhlemann, E.","Institute of Electrical and Electronics Engineers, Inc.",2018
8,Connected and autonomous vehicles coordinating approach at intersection based on space–time slot,"Chai, Linguo; Cai, Baigen; ShangGuan, Wei; Wang, Jian; Wang, Huashen",Taylor & Francis,2018
9,A Human-centered Approach to Controlling Multiple Semi-autonomous Unmanned Vehicles,"Brockett, A.;Laux, L.;Dahn, D.",AIAA,2002
10,High Accuracy Autonomous Navigation of Underwater Vehicles,"Larsen, M. B.",Pergamon,2000
11,"Control of Cooperative, Autonomous Unmanned Aerial Vehicles","Weiskopf, F.;Wilkerson, J.;Gion, T.;Elkiss, D.;Gilreath, H.;Bruzek, J.;Bamberger, R.;Grossman, K.",AIAA,2002
12,Converting Outdoor Vehicles into Autonomous Mobile Robots,"Jarvis, R. A.",IEEE,1993
13,"Internet of Autonomous Vehicles Communications Security: Overview, Issues, and Directions","Nanda, Ashish; Puthal, Deepak; Rodrigues, Joel J. P. C.; Kozlov, Sergei A.",IEEE,2019
14,Self-localization of autonomous underwater vehicles with accurate sound travel time solution,"Li, Jing; Gao, Han; Zhang, Shujing; Chang, Shuai; Chen, Jiaxing; Liu, Zhihua","Elsevier Science B.V., Amsterdam.",2016
15,How Might Autonomous Vehicles Impact the City? The Case of Commuting to Central Adelaide,"Kellett, Jon; Barreto, Raul; Hengel, Anton Van Den; Vogiatzis, Nik",Taylor & Francis,2019
16,Impacts of Autonomous Vehicles on Public Health: A Conceptual Model and Policy Recommendations,"Sohrabi, Soheil; Khreis, Haneen; Lord, Dominique",Elsevier Science,2020
17,Turning the Corner: Improved Intersection Controlfor Autonomous Vehicles,"Dresner, K.; Stone, P.","Institute of Electrical and Electronics Engineers,",2005
18,Guaranteeing Persistent Feasibility of Model Predictive Motion Planning for Autonomous Vehicles,"Jalalmaab, Mehdi; Fidan, Baris; Jeon, Soo; Falcone, Paolo","Institute of electrical and Electronics Engineers, Inc",2017
19,A Platoon-Based Intersection Management System for Autonomous Vehicles,"Bashiri, Self; Fleming, Cody","Institute of electrical and Electronics Engineers, Inc",2017
20,Monocular Based Lane Change on Scaled-Down Autonomous Vehicles,"He, W.; Wang, X.; Chen, G.; Guo, M.; Zhang, T.; Han, P.; Zhang, R.","Piscataway, NJ; IEEE",2011
21,Localization of Autonomous Underwater Vehicles by Floating Acoustic Buoys: A Set-Membership Approach,"Caiti, A.; Garulli, A.; Livide, F.; Prattichizzo, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2005
22,Real-Time Quasi Dense Two-Frames Depth Map for Autonomous Guided Vehicles,"Ducrot, A.; Dumortier, Y.; Herlin, I.; Ducrot, V.","Piscataway, NJ; IEEE",2011
23,Requirements for Autonomous Underwater Vehicles (AUVs) for scientific data collection in the Laurentian Great Lakes: A questionnaire survey,"Dawson, Heather A.; Allison, Mark",INTERNATIONAL ASSN FOR GREAT LAKES RESEARCH,2021
24,Potential of autonomous underwater vehicles as new generation ocean data platforms,"Desa, E.; Madhan, R.; Maurya, P.",CURRENT SCIENCE ASSOC / INDIAN ACADEMY OF SCIENCES,2006
25,Framework for Simulation-Based Lane Change Control for Autonomous Vehicles,"Choi, Seongjin; Yeo, Hwasoo","Institute of electrical and Electronics Engineers, Inc",2017
26,AIAA-2002-4468 An Autonomous Hierarchical ControlArchitecture for Unmanned Aerial Vehicles,"Boskovic, J.;Prasanth, R.;Mehra, R.",AIAA,2002
27,Stochastic Model Predictive Controller with Chance Constraints for Comfortable and Safe Driving Behavior of Autonomous Vehicles,"Lenz,  David; Kessler,  Tobias; Knoll,  Alois","Institute of electrical and Electronics Engineers, Inc.",2015
28,Navigation of Autonomous Underwater Vehicles based on Artificial Underwater Landmarks,"Yu, S.-C.;Ura, T.;Fujii, T.;Kondo, H.",Marine Technology Society,2001
29,Research in autonomous agriculture vehicles in Japan,"Torii, T.",ELSEVIER,2000
30,Perception of autonomous vehicles by the modern society: a survey,"Thomas, Elena; McCrudden, Connie; Wharton, Zachary; Behera, Ardhendu",IEE,2020
31,Distributed Scalable Autonomous Market-Based Demand Response via Residential Plug-In Electric Vehicles in Smart Grids,"Rassaei, F.; Soh, W.; Chua, K.",IEEE,2018
32,471-050: Multi-Agent Autonomous Pilot for Single-Track Vehicles,"Vrajitoru, D.; Mehler, R.","ACTA Press,",2005
33,Teleoperation and Autonomous Guidance Systems for Off-Road Vehicles,"Mononen, J.",AMERICAN TECHNICAL PUBLISHERS LTD,1994
34,Unmanned aerial vehicles using machine learning for autonomous flight; state-of-the-art,"Choi, Su Yeon; Cha, Dowan",Taylor and Francis,2019
35,AIAA-2004-6246 An Autonomous Threat Evasion Response Algorithm for Unmanned Air Vehicles During Low Altitude Flight,"Homer, M.; Pettit, R.","AIAA,",2004
36,Swarm of autonomous unmanned aerial vehicles with 3D deconfliction (Invited Paper) [10651-21],unknown,The Society,2018
37,"Entering Crossroads with Blind Corners, a Safe Strategy for Autonomous Vehicles","Hoermann, Stefan; Kunz, Felix; Nuss, Dominik; Reuter, Stephan; Dietmayer, Klaus","Institute of electrical and Electronics Engineers, Inc",2017
38,Use of Autonomous Vehicles for Improving Sustainability via Water Quality and Biological Pest Manage,"Hall, S. G.; Mandhani, N.; Mudgundi, A.; Price, R. R.","St. Joseph, Mich.:; American Society of Agricultural Engineers,",2005
39,A 3D Positioning System for Off-road Autonomous Vehicles,"Xiang, Z.; Ozguner, U.","Institute of Electrical and Electronics Engineers,",2005
40,Homing Pigeon-Inspired Autonomous Navigation System for Unmanned Aerial Vehicles,"Duan, Haibin; Xin, Long; Shi, Yuhui",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2021
41,Prioritizing Collision Avoidance and Vehicle Stabilization for Autonomous Vehicles,"Funke,  Joseph; Brown,  Matthew; Erlien,  Stephen M.; Gerdes,  Chris","Institute of electrical and Electronics Engineers, Inc.",2015
42,Requirements for Autonomous Underwater Vehicles (AUVs) for scientific data collection in the Laurentian Great Lakes: A questionnaire survey,Heather A. Dawson ;  Mark Allison,Elsevier Science (Singapore),2021
43,ROAD DNA BASED LOCALIZATION FOR AUTONOMOUS VEHICLES,"Li,  Liang; Yang,  Ming; Wang,  Chunxiang; Wang,  Bing","Institute of electrical and Electronics Engineers, Inc.",2016
44,Probabilistic Long-Term Prediction for Autonomous Vehicles,"Hoermann, Stefan; Stumper, Daniel; Dietmayer, Klaus","Institute of electrical and Electronics Engineers, Inc",2017
45,GPU for Autonomous Vehicles,"Murokawa, Tohru",Japan Institute of Electronics Packaging,2020
46,Use of Autonomous Vehicles for Drinking Water Monitoring and Management in an Urban Environment,"Hall, S.; Price, R. R.; Mandhani, N.","St. Joseph, Mich.; American Society of Engineers",2004
47,Along-Track Localization for Cooperative Autonomous Vehicles,"Héry, Elwan; Xu, Philippe; Bonnifait, Philippe","Institute of electrical and Electronics Engineers, Inc",2017
48,THE MULTILAYER PERCEPTRON APPROACH TO LATERAL MOTION PREDICTION OF SURROUNDING VEHICLES FOR AUTONOMOUS VEHICLES,"Yoon,  Seungje; Kum,  Dongsuk","Institute of electrical and Electronics Engineers, Inc.",2016
49,Navigation of autonomous vehicles for oil spill cleaning in dynamic and uncertain environments,"Jin, X.; Ray, A.",Taylor & Francis,2014
50,TEMPORAL LOGIC FOR FINDING UNDESIRED BEHAVIORS OF AUTONOMOUS VEHICLES IN A STATE SPACE EXPLORED BY DYNAMIC ANALYSIS,"Minnerup,  Pascal; Knoll,  Alois","Institute of electrical and Electronics Engineers, Inc.",2016
