,userID,rating,area
159,1006205,3.0,강원도 춘천시
160,1006204,4.0,강원도 강릉시
161,1006204,4.0,강원도 홍천군
162,1006202,3.0,강원도 정선군
163,1006205,4.0,전라북도 전주시
164,1006205,3.0,전라남도 담양군
165,1006205,5.0,경상북도 경주시
168,1006301,3.0,경기도 양평군
169,1006301,3.0,충청북도 제천시
170,1006301,3.0,충청남도 논산시
171,1006301,4.0,경상북도 군위군
172,1006402,3.0,경기도 양평군
177,1006501,3.0,충청남도 금산군
178,1006601,4.0,경기도 동두천시
179,1006601,4.0,경기도 동두천시
180,1006601,4.0,강원도 평창군
181,1006601,3.0,강원도 평창군
182,1006601,3.0,경상북도 울진군
183,1006601,5.0,제주특별자치도 서귀포시
184,1006701,3.0,경기도 동두천시
185,1006801,4.0,서울특별시 서대문구
186,1006801,4.0,경기도 광주시
187,1006801,5.0,강원도 태백시
188,1006801,4.0,강원도 평창군
189,1006801,5.0,충청북도 제천시
190,1006801,5.0,경상북도 봉화군
194,1007101,4.0,인천광역시 중구
195,1007101,3.0,경기도 동두천시
196,1007101,3.0,경기도 양평군
197,1007101,3.0,강원도 정선군
199,1007201,3.0,인천광역시 강화군
200,1007202,4.0,인천광역시 강화군
201,1007202,3.0,경기도 오산시
202,1007201,4.0,강원도 철원군
203,1007201,3.0,강원도 고성군
204,1007201,4.0,경상북도 경주시
205,1007401,3.0,경기도 남양주시
206,1007401,3.0,경기도 오산시
207,1007402,3.0,경기도 포천시
208,1007401,4.0,경기도 연천군
209,1007401,4.0,강원도 춘천시
210,1007401,3.0,강원도 춘천시
211,1007401,3.0,강원도 속초시
212,1007402,3.0,강원도 평창군
213,1007402,3.0,충청북도 진천군
214,1007502,3.0,서울특별시 중구
216,1007602,4.0,인천광역시 강화군
217,1007603,3.0,경기도 과천시
218,1007602,4.0,경상북도 영주시
222,1007802,4.0,서울특별시 송파구
223,1007802,3.0,인천광역시 중구
224,1007801,3.0,경기도 남양주시
225,1007801,3.0,경기도 포천시
226,1007802,4.0,경기도 양평군
227,1007902,4.0,서울특별시 중구
228,1007902,4.0,서울특별시 광진구
229,1007902,3.0,인천광역시 남동구
230,1007902,4.0,경기도 평택시
231,1007902,3.0,경기도 남양주시
232,1007902,3.0,경기도 시흥시
233,1007902,4.0,강원도 춘천시
235,1008001,3.0,서울특별시 도봉구
236,1008001,3.0,경기도 연천군
237,1008101,3.0,인천광역시 남동구
238,1008101,3.0,인천광역시 서구
242,1008301,3.0,경기도 양평군
243,1008302,4.0,강원도 강릉시
244,1008301,3.0,경상북도 안동시
245,1008301,3.0,경상북도 청송군
246,1008301,3.0,경상북도 성주군
247,1008402,4.0,경기도 가평군
251,1008504,4.0,강원도 춘천시
256,1008604,4.0,부산광역시 해운대구
257,1008602,4.0,경기도 수원시
258,1008602,4.0,강원도 강릉시
259,1008603,4.0,강원도 인제군
260,1008602,4.0,충청남도 태안군
261,1008602,4.0,전라북도 전주시
268,1009601,4.0,서울특별시 종로구
269,1009601,4.0,서울특별시 종로구
270,1009902,4.0,경상남도 진주시
272,1010001,4.0,경상북도 경산시
275,1010202,4.0,강원도 홍천군
281,1010502,4.0,충청남도 태안군
285,1010701,5.0,인천광역시 옹진군
286,1010702,4.0,경기도 가평군
287,1010702,4.0,경기도 가평군
289,1010802,5.0,충청북도 보은군
290,1010802,4.0,충청북도 보은군
293,1010902,4.0,경기도 성남시
296,1011001,4.0,서울특별시 종로구
297,1011102,4.0,인천광역시 강화군
298,1011102,4.0,경기도 연천군
299,1011102,4.0,강원도 속초시
303,1011301,4.0,인천광역시 강화군
304,1011301,3.0,인천광역시 강화군
305,1011302,4.0,인천광역시 강화군
306,1011301,3.0,경기도 고양시
307,1011301,3.0,경기도 구리시
308,1011301,3.0,경기도 남양주시
309,1011302,4.0,경기도 남양주시
310,1011302,3.0,경기도 광주시
311,1011301,4.0,경기도 양주시
312,1011301,3.0,경기도 양주시
313,1011301,4.0,경기도 포천시
314,1011301,4.0,경기도 여주시
315,1011304,4.0,경기도 여주시
316,1011301,4.0,경기도 연천군
317,1011301,3.0,경기도 가평군
318,1011301,4.0,경기도 양평군
319,1011304,4.0,강원도 춘천시
320,1011301,4.0,강원도 인제군
321,1011301,4.0,충청북도 괴산군
322,1011302,3.0,충청남도 천안시
323,1011302,4.0,전라북도 완주군
324,1011302,4.0,전라북도 장수군
325,1011302,3.0,전라남도 장흥군
326,1011301,4.0,전라남도 해남군
332,1011503,4.0,강원도 속초시
333,1011503,4.0,강원도 속초시
334,1011504,4.0,강원도 속초시
337,1011701,4.0,강원도 평창군
338,1011701,4.0,강원도 평창군
353,1012802,4.0,경기도 용인시
354,1012801,4.0,전라남도 장성군
355,1012801,4.0,전라남도 장성군
358,1013003,4.0,경기도 포천시
359,1013002,4.0,강원도 홍천군
361,1013201,4.0,강원도 양양군
365,1013302,4.0,강원도 양구군
380,1013802,4.0,경기도 양평군
384,1013903,5.0,경기도 가평군
385,1013903,4.0,강원도 춘천시
393,1014002,4.0,전라남도 담양군
394,1014001,5.0,제주특별자치도 서귀포시
395,1014102,4.0,경기도 남양주시
398,1014204,4.0,강원도 강릉시
399,1014203,4.0,충청남도 금산군
402,1014302,4.0,인천광역시 옹진군
403,1014302,4.0,인천광역시 옹진군
404,1014302,4.0,경기도 광명시
405,1014302,4.0,경기도 여주시
406,1014302,3.0,경기도 가평군
407,1014302,4.0,강원도 속초시
408,1014302,3.0,충청북도 청주시
417,1014604,4.0,경기도 가평군
418,1014603,4.0,강원도 삼척시
419,1014603,4.0,강원도 삼척시
420,1014602,4.0,강원도 인제군
422,1014704,4.0,부산광역시 부산진구
431,1014901,5.0,경기도 용인시
432,1014902,5.0,경기도 용인시
433,1014902,4.0,경기도 용인시
434,1014901,4.0,경기도 가평군
435,1014901,4.0,경기도 가평군
438,1015103,4.0,강원도 강릉시
443,1015304,4.0,강원도 춘천시
449,1015602,4.0,충청북도 충주시
450,1015604,4.0,전라남도 여수시
451,1015602,4.0,제주특별자치도 서귀포시
454,1015703,4.0,강원도 춘천시
455,1015703,4.0,강원도 춘천시
460,1015902,5.0,강원도 속초시
461,1015902,4.0,전라북도 전주시
462,1015902,4.0,전라북도 군산시
465,1016003,4.0,강원도 양양군
466,1016003,5.0,강원도 춘천시
469,1016101,4.0,경기도 가평군
470,1016203,4.0,서울특별시 도봉구
471,1016203,4.0,서울특별시 도봉구
472,1016202,4.0,경기도 가평군
478,1016601,4.0,서울특별시 성북구
479,1016602,3.0,경기도 포천시
480,1016602,4.0,강원도 속초시
481,1016602,5.0,제주특별자치도 서귀포시
485,1016803,4.0,서울특별시 강남구
486,1016803,4.0,서울특별시 강남구
491,1017002,4.0,강원도 홍천군
494,1017103,4.0,경상남도 통영시
496,1017201,4.0,강원도 속초시
498,1017302,4.0,인천광역시 강화군
501,1017701,5.0,경상남도 통영시
504,1017801,4.0,경기도 가평군
505,1017802,4.0,강원도 인제군
506,1017801,4.0,충청북도 진천군
507,1017802,4.0,충청남도 태안군
508,1017804,5.0,제주특별자치도 서귀포시
510,1017901,4.0,서울특별시 도봉구
511,1017901,4.0,서울특별시 서초구
512,1017901,4.0,전라북도 남원시
513,1018001,4.0,제주특별자치도 서귀포시
516,1018101,4.0,경기도 여주시
528,1018401,4.0,인천광역시 중구
530,1018501,4.0,서울특별시 중구
531,1018502,4.0,강원도 속초시
536,1018803,4.0,경기도 양주시
537,1018801,4.0,전라북도 완주군
538,1018801,4.0,전라남도 여수시
542,1019101,4.0,경상남도 진주시
543,1019101,4.0,경상남도 진주시
545,1019204,4.0,강원도 강릉시
551,1019501,4.0,충청남도 보령시
552,1019501,3.0,충청남도 홍성군
558,1019703,4.0,경기도 가평군
559,1019704,4.0,강원도 강릉시
569,1020301,4.0,인천광역시 중구
570,1020301,4.0,인천광역시 강화군
571,1020301,4.0,전라북도 진안군
572,1020301,4.0,경상북도 영주시
573,1020301,4.0,경상남도 거제시
575,1020401,4.0,경기도 파주시
576,1020401,4.0,강원도 춘천시
580,1020702,4.0,경기도 수원시
591,1021104,4.0,경기도 파주시
592,1021105,4.0,경기도 파주시
593,1021103,4.0,강원도 강릉시
594,1021105,4.0,충청남도 보령시
597,1021201,4.0,경기도 수원시
598,1021201,4.0,경기도 수원시
599,1021201,4.0,강원도 강릉시
603,1021401,4.0,경기도 파주시
605,1021501,4.0,서울특별시 종로구
606,1021503,4.0,경기도 수원시
607,1021502,4.0,강원도 속초시
626,1022702,4.0,강원도 춘천시
635,1023102,4.0,강원도 춘천시
636,1023102,4.0,강원도 춘천시
638,1023503,4.0,경기도 수원시
639,1023502,4.0,충청남도 천안시
649,1023803,4.0,인천광역시 강화군
650,1023803,4.0,인천광역시 강화군
651,1023802,4.0,전라북도 부안군
654,1024003,4.0,경기도 가평군
655,1024004,4.0,경기도 가평군
656,1024002,4.0,강원도 속초시
658,1024103,4.0,강원도 강릉시
661,1024202,4.0,경기도 파주시
662,1024203,4.0,충청남도 서산시
665,1024303,4.0,인천광역시 강화군
666,1024303,4.0,충청북도 청주시
668,1024402,4.0,경기도 평택시
670,1024503,4.0,부산광역시 해운대구
671,1024502,4.0,경기도 수원시
672,1024504,4.0,전라북도 무주군
673,1024503,4.0,제주특별자치도 서귀포시
676,1024802,4.0,경기도 가평군
677,1024802,4.0,경기도 가평군
678,1024803,4.0,경기도 가평군
679,1024803,4.0,경기도 가평군
680,1024803,4.0,강원도 속초시
683,1024902,4.0,경기도 양주시
684,1024902,4.0,경기도 양주시
686,1025003,4.0,강원도 홍천군
691,1025402,4.0,경기도 의정부시
692,1025402,4.0,경기도 양주시
693,1025402,5.0,충청남도 예산군
700,1025904,4.0,부산광역시 해운대구
701,1025904,4.0,부산광역시 해운대구
702,1025902,4.0,강원도 정선군
703,1025902,4.0,강원도 정선군
708,1026203,4.0,부산광역시 해운대구
709,1026203,4.0,부산광역시 해운대구
715,1026503,4.0,부산광역시 해운대구
719,1026601,4.0,서울특별시 중구
727,1027003,4.0,서울특별시 종로구
728,1027004,4.0,경기도 가평군
731,1027102,4.0,경기도 가평군
732,1027102,4.0,경기도 양평군
735,1027303,4.0,경상남도 통영시
738,1027402,4.0,경기도 수원시
739,1027402,4.0,경기도 수원시
749,1028302,4.0,부산광역시 해운대구
750,1028302,4.0,인천광역시 강화군
751,1028302,4.0,경기도 양평군
752,1028302,4.0,강원도 평창군
753,1028302,4.0,충청남도 보령시
757,1028504,4.0,경기도 수원시
758,1028502,4.0,충청남도 태안군
787,1030602,3.0,경기도 양평군
789,1030901,4.0,부산광역시 해운대구
792,1031001,4.0,경상남도 함양군
796,1031104,4.0,서울특별시 양천구
797,1031103,4.0,경기도 양평군
815,1031603,4.0,인천광역시 강화군
821,1031802,4.0,경기도 가평군
822,1031803,4.0,전라북도 남원시
824,1031903,4.0,제주특별자치도 서귀포시
831,1032301,4.0,강원도 춘천시
834,1032401,4.0,경기도 가평군
835,1032502,4.0,강원도 원주시
841,1032801,4.0,전라북도 남원시
851,1033503,4.0,강원도 속초시
854,1033603,4.0,강원도 홍천군
858,1033703,4.0,서울특별시 송파구
859,1033703,4.0,강원도 강릉시
863,1033803,4.0,경기도 이천시
864,1033803,4.0,강원도 속초시
865,1033803,4.0,강원도 평창군
866,1033803,4.0,전라남도 완도군
875,1034202,4.0,강원도 평창군
899,1035201,4.0,경기도 안산시
900,1035201,3.0,경기도 시흥시
901,1035201,4.0,경기도 용인시
902,1035201,4.0,경기도 파주시
903,1035201,4.0,강원도 원주시
907,1035401,4.0,부산광역시 해운대구
908,1035404,4.0,인천광역시 강화군
909,1035401,4.0,경기도 부천시
910,1035404,4.0,경기도 가평군
911,1035401,3.0,전라남도 목포시
916,1035702,4.0,강원도 정선군
930,1036302,4.0,전라남도 여수시
933,1036401,4.0,부산광역시 부산진구
934,1036401,4.0,울산광역시 동구
935,1036401,4.0,경기도 파주시
936,1036402,4.0,강원도 삼척시
937,1036404,4.0,강원도 화천군
938,1036401,4.0,경상북도 경주시
939,1036601,4.0,서울특별시 은평구
940,1036601,4.0,서울특별시 은평구
941,1036601,4.0,서울특별시 관악구
942,1036601,4.0,강원도 춘천시
943,1036601,4.0,강원도 강릉시
944,1036601,4.0,전라북도 전주시
945,1036601,4.0,전라북도 고창군
946,1036601,4.0,전라남도 여수시
947,1036601,4.0,전라남도 담양군
948,1036601,4.0,전라남도 구례군
949,1036601,4.0,전라남도 구례군
955,1036803,4.0,부산광역시 해운대구
956,1036803,4.0,울산광역시 남구
957,1036803,4.0,강원도 춘천시
958,1036802,4.0,강원도 화천군
959,1036802,4.0,충청남도 아산시
960,1036802,4.0,전라남도 영암군
961,1036802,4.0,경상북도 울릉군
962,1036802,4.0,경상북도 울릉군
963,1036905,4.0,경기도 수원시
964,1036901,4.0,강원도 강릉시
965,1036901,4.0,전라북도 군산시
968,1037001,4.0,강원도 속초시
969,1037001,4.0,경상남도 남해군
989,1037703,4.0,경기도 가평군
990,1037703,4.0,강원도 속초시
991,1037705,4.0,제주특별자치도 서귀포시
997,1037803,4.0,제주특별자치도 서귀포시
1009,1038501,4.0,경기도 안산시
1010,1038503,4.0,강원도 홍천군
1011,1038504,4.0,강원도 평창군
1015,1038703,4.0,강원도 속초시
1018,1038801,4.0,대전광역시 중구
1019,1038801,4.0,강원도 춘천시
1020,1038801,4.0,강원도 강릉시
1021,1038801,4.0,강원도 강릉시
1022,1038801,4.0,강원도 속초시
1023,1038801,4.0,강원도 속초시
1024,1038801,4.0,충청북도 괴산군
1025,1038801,4.0,충청북도 괴산군
1026,1038801,4.0,충청남도 태안군
1027,1038801,4.0,충청남도 태안군
1028,1038901,4.0,서울특별시 강동구
1031,1039003,4.0,서울특별시 송파구
1032,1039003,4.0,서울특별시 송파구
1033,1039003,4.0,경기도 고양시
1037,1039103,4.0,충청남도 태안군
1038,1039102,4.0,경상남도 함양군
1042,1039301,4.0,인천광역시 중구
1043,1039301,4.0,경기도 파주시
1044,1039301,3.0,경기도 광주시
1045,1039301,4.0,경기도 가평군
1046,1039301,4.0,경기도 가평군
1047,1039301,4.0,강원도 원주시
1048,1039301,4.0,강원도 홍천군
1049,1039301,4.0,충청남도 천안시
1056,1039802,4.0,인천광역시 강화군
1057,1039801,4.0,강원도 춘천시
1058,1039802,4.0,강원도 홍천군
1059,1039802,4.0,강원도 양양군
1060,1039802,4.0,강원도 양양군
1061,1039802,4.0,충청남도 공주시
1068,1040102,4.0,서울특별시 관악구
1069,1040102,5.0,인천광역시 강화군
1070,1040102,4.0,경기도 부천시
1071,1040102,4.0,경기도 부천시
1072,1040102,4.0,경기도 양평군
1073,1040102,4.0,강원도 춘천시
1074,1040102,5.0,강원도 춘천시
1075,1040102,4.0,강원도 태백시
1076,1040102,5.0,강원도 홍천군
1077,1040102,4.0,충청북도 청주시
1078,1040102,4.0,충청남도 서산시
1079,1040102,4.0,전라남도 장성군
1080,1040102,4.0,경상북도 문경시
1083,1040203,5.0,서울특별시 영등포구
1084,1040203,5.0,서울특별시 관악구
1085,1040202,5.0,인천광역시 강화군
1086,1040201,5.0,광주광역시 서구
1087,1040203,5.0,경기도 성남시
1088,1040202,5.0,강원도 횡성군
1089,1040202,5.0,충청북도 청주시
1095,1040602,4.0,경기도 부천시
1103,1041101,4.0,광주광역시 남구
1110,1041403,4.0,대전광역시 유성구
1111,1041402,4.0,경기도 남양주시
1112,1041402,4.0,경기도 남양주시
1113,1041402,4.0,강원도 속초시
1114,1041401,4.0,강원도 춘천시
1115,1041403,4.0,강원도 춘천시
1118,1041601,4.0,경기도 수원시
1119,1041703,4.0,부산광역시 서구
1120,1041703,4.0,부산광역시 해운대구
1121,1041704,4.0,강원도 강릉시
1122,1041704,4.0,강원도 강릉시
1123,1041704,4.0,강원도 강릉시
1126,1041804,5.0,서울특별시 송파구
1127,1041803,4.0,경기도 가평군
1128,1041802,4.0,제주특별자치도 서귀포시
1130,1041902,4.0,강원도 횡성군
1131,1041902,4.0,전라북도 진안군
1132,1041902,4.0,전라북도 진안군
1135,1042004,4.0,인천광역시 남구
1136,1042004,4.0,인천광역시 강화군
1137,1042004,4.0,강원도 속초시
1138,1042003,4.0,강원도 홍천군
1139,1042004,4.0,강원도 양양군
1144,1042201,4.0,인천광역시 남구
1145,1042201,4.0,인천광역시 남동구
1146,1042201,4.0,경기도 평택시
1147,1042201,4.0,경기도 평택시
1148,1042201,4.0,경기도 고양시
1149,1042201,4.0,경기도 양평군
1150,1042201,4.0,강원도 강릉시
1151,1042202,4.0,충청북도 청주시
1152,1042202,4.0,충청북도 청주시
1153,1042302,4.0,경기도 성남시
1154,1042302,5.0,경기도 가평군
1166,1042901,4.0,서울특별시 동대문구
1167,1042901,4.0,충청남도 태안군
1169,1043001,3.0,부산광역시 해운대구
1170,1043001,3.0,인천광역시 서구
1171,1043001,4.0,인천광역시 강화군
1172,1043001,3.0,광주광역시 동구
1173,1043001,3.0,광주광역시 서구
1174,1043001,3.0,대전광역시 유성구
1175,1043001,5.0,경기도 수원시
1176,1043001,4.0,경기도 하남시
1177,1043001,4.0,경기도 양평군
1178,1043001,4.0,강원도 원주시
1179,1043001,4.0,강원도 원주시
1180,1043001,4.0,충청북도 청주시
1181,1043001,4.0,충청남도 홍성군
1182,1043001,4.0,전라북도 전주시
1183,1043001,5.0,전라남도 목포시
1184,1043001,4.0,전라남도 신안군
1188,1043202,4.0,충청남도 태안군
1193,1043602,5.0,경기도 파주시
1201,1043901,4.0,강원도 원주시
1202,1043901,4.0,제주특별자치도 서귀포시
1212,1044404,4.0,경기도 가평군
1216,1044503,4.0,제주특별자치도 서귀포시
1228,1044903,4.0,강원도 춘천시
1229,1044904,4.0,강원도 평창군
1237,1045602,5.0,경기도 고양시
1238,1045602,4.0,강원도 춘천시
1239,1045602,5.0,강원도 정선군
1242,1045801,4.0,서울특별시 도봉구
1246,1046002,4.0,부산광역시 해운대구
1247,1046001,4.0,인천광역시 강화군
1248,1046002,5.0,경기도 양평군
1249,1046001,5.0,강원도 동해시
1250,1046001,5.0,충청북도 충주시
1251,1046001,5.0,전라남도 목포시
1255,1046301,4.0,서울특별시 종로구
1256,1046301,4.0,서울특별시 종로구
1257,1046301,4.0,서울특별시 종로구
1258,1046301,4.0,서울특별시 종로구
1259,1046301,4.0,서울특별시 종로구
1260,1046301,3.0,서울특별시 종로구
1261,1046301,5.0,서울특별시 종로구
1262,1046301,4.0,서울특별시 강서구
1263,1046301,5.0,서울특별시 관악구
1264,1046301,5.0,서울특별시 서초구
1265,1046301,4.0,서울특별시 강남구
1266,1046301,5.0,서울특별시 강남구
1267,1046301,5.0,서울특별시 강남구
1268,1046301,4.0,서울특별시 송파구
1269,1046301,5.0,경기도 광명시
1270,1046301,5.0,경기도 포천시
1275,1047002,4.0,강원도 삼척시
1276,1047002,4.0,강원도 삼척시
1277,1047002,4.0,강원도 인제군
1278,1047002,4.0,강원도 인제군
1284,1047402,4.0,서울특별시 서초구
1285,1047402,5.0,경기도 성남시
1286,1047402,5.0,경기도 포천시
1287,1047402,3.0,충청북도 충주시
1295,1047802,4.0,경기도 수원시
1296,1047804,4.0,강원도 속초시
1297,1047802,4.0,충청남도 천안시
1298,1047802,5.0,전라남도 여수시
1301,1047901,4.0,강원도 강릉시
1302,1047901,4.0,강원도 강릉시
1303,1047901,4.0,강원도 동해시
1304,1047901,4.0,강원도 춘천시
1305,1047901,4.0,강원도 춘천시
1306,1047901,4.0,강원도 춘천시
1307,1047901,4.0,강원도 춘천시
1308,1047901,4.0,강원도 춘천시
1309,1047901,4.0,강원도 춘천시
1310,1047902,5.0,충청북도 진천군
1311,1048002,4.0,서울특별시 중구
1312,1048003,5.0,서울특별시 중구
1313,1048002,5.0,서울특별시 용산구
1314,1048001,4.0,서울특별시 동대문구
1315,1048003,5.0,서울특별시 도봉구
1316,1048002,5.0,서울특별시 송파구
1317,1048002,5.0,경기도 남양주시
1318,1048003,5.0,강원도 홍천군
1319,1048003,5.0,강원도 횡성군
1320,1048002,5.0,충청남도 서천군
1326,1048501,4.0,강원도 춘천시
1332,1049402,5.0,경기도 가평군
1333,1049402,5.0,경상남도 거제시
1334,1049402,5.0,제주특별자치도 서귀포시
1335,1049402,5.0,제주특별자치도 서귀포시
1341,1049703,5.0,서울특별시 관악구
1342,1049703,5.0,경기도 파주시
1343,1049704,5.0,경기도 화성시
1344,1049703,5.0,경기도 가평군
1345,1049705,4.0,충청북도 청주시
1346,1049702,4.0,충청남도 보령시
1347,1049702,5.0,충청남도 태안군
1348,1049701,5.0,전라북도 부안군
1349,1049701,5.0,전라북도 부안군
1351,1049901,5.0,강원도 속초시
1352,1049901,5.0,강원도 속초시
1353,1049901,5.0,강원도 홍천군
1354,1049901,5.0,충청남도 보령시
1355,1049901,5.0,전라북도 고창군
1359,1050002,5.0,인천광역시 부평구
1360,1050002,4.0,경기도 안양시
1361,1050002,5.0,경기도 구리시
1362,1050002,4.0,경기도 양평군
1363,1050002,5.0,경기도 양평군
1364,1050003,5.0,강원도 춘천시
1365,1050002,5.0,강원도 삼척시
1366,1050002,5.0,강원도 홍천군
1367,1050002,5.0,충청북도 단양군
1368,1050002,5.0,충청남도 보령시
1369,1050002,5.0,전라북도 남원시
1370,1050002,5.0,전라북도 고창군
1371,1050002,5.0,경상북도 청송군
1372,1050002,5.0,경상남도 함양군
1373,1050002,4.0,경상남도 함양군
1383,1050203,4.0,부산광역시 해운대구
1384,1050203,4.0,강원도 속초시
1390,1050502,5.0,경기도 시흥시
1391,1050502,4.0,경기도 양평군
1392,1050502,5.0,충청남도 아산시
1393,1050502,5.0,충청남도 아산시
1394,1050502,5.0,충청남도 아산시
1396,1050603,5.0,부산광역시 해운대구
1397,1050604,5.0,경기도 가평군
1398,1050604,5.0,경기도 가평군
1399,1050604,5.0,경기도 가평군
1400,1050602,4.0,경기도 양평군
1401,1050604,5.0,경기도 양평군
1402,1050603,4.0,강원도 속초시
1404,1050901,4.0,인천광역시 중구
1405,1050901,5.0,강원도 속초시
1406,1050901,4.0,충청북도 충주시
1407,1050901,4.0,충청남도 서산시
1408,1050901,4.0,충청남도 당진시
1409,1050901,4.0,충청남도 홍성군
1410,1050901,4.0,충청남도 태안군
1411,1050901,5.0,경상북도 문경시
1417,1051201,4.0,인천광역시 강화군
1418,1051201,4.0,경기도 부천시
1419,1051201,5.0,경기도 동두천시
1420,1051201,5.0,경기도 동두천시
1421,1051201,4.0,경기도 양평군
1422,1051201,4.0,경기도 양평군
1423,1051201,5.0,강원도 춘천시
1424,1051201,4.0,강원도 춘천시
1425,1051201,4.0,충청남도 아산시
1426,1051201,5.0,충청남도 서천군
1427,1051503,4.0,충청남도 태안군
1432,1051601,4.0,강원도 춘천시
1447,1052401,3.0,인천광역시 남동구
1448,1052401,4.0,경기도 광주시
1451,1052702,5.0,서울특별시 강북구
1452,1052703,5.0,경기도 수원시
1453,1052703,5.0,경기도 수원시
1454,1052702,5.0,강원도 삼척시
1455,1052702,5.0,강원도 삼척시
1456,1052702,4.0,강원도 정선군
1460,1052801,4.0,경기도 용인시
1461,1052801,4.0,충청북도 음성군
1473,1053305,4.0,경기도 성남시
1483,1053504,4.0,강원도 강릉시
1484,1053504,4.0,강원도 속초시
1491,1053801,5.0,강원도 춘천시
1492,1053802,5.0,강원도 춘천시
1493,1053802,4.0,강원도 평창군
1494,1053803,5.0,강원도 평창군
1495,1053902,4.0,세종특별자치시 세종시
1496,1053902,5.0,경기도 안산시
1497,1053902,5.0,충청북도 보은군
1498,1053902,5.0,경상남도 밀양시
1499,1053902,5.0,경상남도 남해군
1506,1054402,4.0,경기도 용인시
1508,1054902,5.0,경기도 고양시
1509,1054902,5.0,경기도 고양시
1510,1054903,5.0,경기도 가평군
1511,1054902,5.0,강원도 춘천시
1512,1054902,5.0,강원도 홍천군
1513,1054902,4.0,강원도 홍천군
1514,1054902,4.0,강원도 홍천군
1515,1054902,4.0,충청북도 충주시
1516,1054902,4.0,충청북도 제천시
1519,1055002,5.0,인천광역시 강화군
1520,1055002,4.0,경기도 성남시
1521,1055002,4.0,경기도 여주시
1522,1055002,5.0,경기도 양평군
1523,1055002,4.0,강원도 속초시
1524,1055001,4.0,충청북도 단양군
1525,1055002,4.0,전라북도 정읍시
1526,1055002,5.0,경상남도 통영시
1527,1055001,4.0,경상남도 창원시
1540,1056003,3.0,서울특별시 송파구
1544,1056103,4.0,서울특별시 영등포구
1545,1056104,4.0,경기도 양주시
1552,1056401,4.0,인천광역시 중구
1553,1056402,4.0,인천광역시 강화군
1554,1056401,4.0,경기도 성남시
1555,1056401,4.0,경기도 과천시
1556,1056402,4.0,전라북도 군산시
